7.644026,886.1021,776.16
12.64866,37.81036,6.31296
15.32156,973.3907,105.9045
30.60637,973.983,499.3698
40.78267,393.3969,588.5909
45.744,297.7815,550.475
55.19051,316.569,533.9475
58.69655,151.1833,591.7722
62.56866,611.2715,314.7455
97.49101,153.3773,814.9615
117.365,175.0335,205.3367
117.6109,19.41138,891.4478
131.7983,670.6254,945.2787
165.1508,237.853,541.3538
166.4811,938.2287,956.7703
194.255,436.1021,822.0469
199.5699,432.4346,803.7023
217.1795,58.33464,239.467
226.859,140.818,529.6126
237.0739,312.5037,70.72495
263.5512,685.4862,426.5203
266.3706,812.0783,450.1442
277.2142,698.6434,837.204
311.558,898.3353,123.1302
337.71,980.8398,252.9735
338.1371,449.5319,535.071
342.4987,234.5296,678.8744
397.5464,244.4732,1.474895
399.2994,849.5485,977.6072
411.4049,367.4798,904.6384
412.0458,217.7787,301.7869
416.0006,360.0363,427.5569
418.0634,23.28101,659.0606
441.024,735.2833,376.3516
448.8937,88.44834,423.5927
476.9495,85.26373,272.5017
483.3943,792.3901,752.6874
486.5116,85.01987,215.8419
489.7454,985.2159,239.876
494.0013,976.5453,2.432851
507.5448,148.0955,967.8279
514.8072,727.5724,825.4125
542.0547,340.9552,797.1067
571.7184,813.0554,710.6587
578.6086,329.5572,304.7214
603.2997,780.8403,727.413
611.2095,401.4782,291.3773
611.8052,816.6344,774.2195
620.8678,217.7897,651.965
623.5549,544.1475,852.5782
626.519,700.532,959.2494
627.5351,238.8736,379.7985
629.2318,230.5031,878.9229
634.0383,506.6818,343.3236
643.9504,284.2007,14.34881
663.5438,529.0987,405.6666
665.8897,838.6171,204.1821
672.1366,311.3102,862.2906
674.4368,563.8154,712.5405
676.4365,463.0776,392.4284
684.2308,784.7418,716.4207
690.3926,434.4694,269.6908
699.6429,678.1772,828.4261
704.7371,879.0766,756.022
705.2156,710.6284,212.9001
706.736,699.0424,791.4991
710.5581,39.30354,466.0295
712.1601,592.7596,647.2391
712.3328,668.5154,231.5281
725.1468,122.4622,358.5472
728.0032,1.889757,908.8694
737.6419,143.9043,963.8876
744.3286,864.1933,198.1237
756.6694,197.1665,938.4443
762.3882,876.0376,152.9634
765.2624,247.8169,289.2208
769.1816,459.7697,729.7742
780.5624,516.5679,556.9952
789.2676,400.6288,246.6394
796.7357,898.733,675.2023
815.7035,844.4026,157.432
823.0929,942.6193,382.1664
853.158,385.3114,295.6458
859.9591,57.561,740.8442
869.6688,635.5497,116.7889
875.9491,386.4279,625.6103
884.5195,182.7671,450.2058
887.7649,110.6286,358.2043
889.1511,756.6241,613.2593
920.9502,821.9084,594.6606
931.7764,551.8051,445.3871
937.1398,410.6644,559.2697
954.6403,668.513,634.3839
959.2726,606.5648,828.0083
974.5934,483.5417,404.4795
975.6838,31.77909,675.1384
975.9129,53.86983,325.2271
997.2933,625.0447,894.1229
