,SIGNAL,REF,SCORE,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10,FEATURE_11,FEATURE_12,FEATURE_13,FEATURE_14,FEATURE_15,FEATURE_16,FEATURE_17,FEATURE_18,FEATURE_19,FEATURE_20,FEATURE_21,FEATURE_22,FEATURE_23,FEATURE_24,FEATURE_25,FEATURE_26,FEATURE_27,FEATURE_28,FEATURE_29,FEATURE_30,FEATURE_31,FEATURE_32,FEATURE_33,FEATURE_34,FEATURE_35,FEATURE_36,FEATURE_37,FEATURE_38,FEATURE_39,FEATURE_40
0,amphoriskos_vox10_octree08_jpeg010.ply,amphoriskos_vox10.ply,1.35,0.9226011018827328,0.9782628243296182,0.9869193542194302,0.5917547013312958,0.3059298957284442,0.2870880446520693,0.9738297979281516,0.8968338481593714,0.9022748437532842,0.5822626333007845,0.375955991103018,0.5298759957060906,0.001415172707448,0.000478211432853,0.0004765761087743,0.00110234186136,0.0003188601458147,0.0015106067971274,0.001354348828028,0.0005725836210342,0.0008487254734647,0.0009425901684412,0.0003684757720661,0.0006355188850608,0.2780913423276996,0.3016269490316606,0.1668067598189985,0.9999875792649396,0.9998664704396498,0.947370637787944,0.2351032025895646,0.3303429496638714,0.9866581680305722,0.9257424225559928,0.3347196573433102,0.6320486066670186,0.6408119288121525,0.5162858778915478,0.5208021226726257,0.0064421498581907
1,amphoriskos_vox10_octree08_jpeg050.ply,amphoriskos_vox10.ply,1.55,0.9321094136352912,0.9851666059864644,0.991855144481256,0.5915465471326107,0.3719561051825013,0.3373879703685314,0.9650592050163956,0.9893905039339356,0.9904497975852916,0.5781237165849853,0.4120124062806287,0.526935296155578,0.001415172707448,0.000478211432853,0.0004765761087743,0.00110234186136,0.0003188601458147,0.0015106067971274,0.001354348828028,0.0005725836210342,0.0008487254734647,0.0009425901684412,0.0003684757720661,0.0006355188850608,0.2780913423276996,0.3016269490316606,0.1668067598189985,0.9999875792649396,0.9998664704396498,0.947370637787944,0.2351032025895646,0.3303429496638714,0.9866581680305722,0.9257424225559928,0.3347196573433102,0.6320486066670186,0.6408119288121525,0.5162858778915478,0.5208021226726257,0.0064421498581907
2,amphoriskos_vox10_octree08_jpeg090.ply,amphoriskos_vox10.ply,1.6,0.9359747752755556,0.987713583533286,0.9936445295881694,0.5723895792369107,0.3973887091614307,0.3670655902372069,0.9602442226988724,0.981906963638304,0.9853091601125245,0.5630935023081801,0.4223427186017004,0.5088977023955392,0.001415172707448,0.000478211432853,0.0004765761087743,0.00110234186136,0.0003188601458147,0.0015106067971274,0.001354348828028,0.0005725836210342,0.0008487254734647,0.0009425901684412,0.0003684757720661,0.0006355188850608,0.2780913423276996,0.3016269490316606,0.1668067598189985,0.9999875792649396,0.9998664704396498,0.947370637787944,0.2351032025895646,0.3303429496638714,0.9866581680305722,0.9257424225559928,0.3347196573433102,0.6320486066670186,0.6408119288121525,0.5162858778915478,0.5208021226726257,0.0064421498581907
3,amphoriskos_vox10_octree09_jpeg010.ply,amphoriskos_vox10.ply,2.15,0.9574113517068912,0.9829830689475868,0.9888122705914344,0.699188269874132,0.3143697866378287,0.3072020660187464,0.9573132176431446,0.8962909001902928,0.901614955488719,0.6814773306890276,0.4084059574672316,0.634179685756408,0.000820285792784,0.0003735417408451,0.0003760098734447,0.00047666072692,0.0002021852107868,0.000664319181593,0.0008908051455831,0.0004282417565349,0.0004802658063552,0.0005055062902324,0.0002479253033057,0.0002661992438444,0.6812460401322015,0.7259660774590861,0.4696914330979405,1.0008951231154923,1.0006846853438005,0.9168646273011022,0.6168080736151,0.7251572794785867,0.9944737300205988,0.9318904703198068,0.3534142208005688,0.7148030574624883,0.7319830406771669,0.5370014913551274,0.4925938370735411,0.0011535888812462
4,amphoriskos_vox10_octree09_jpeg050.ply,amphoriskos_vox10.ply,3.2,0.9707524488524304,0.9901232447576646,0.994370200319952,0.7599646959915273,0.4389866218761273,0.4015569102859589,0.9381223626701072,0.9887724769889972,0.9910480341473116,0.7368054646948116,0.5111033961132387,0.6963579963900427,0.000820285792784,0.0003735417408451,0.0003760098734447,0.00047666072692,0.0002021852107868,0.000664319181593,0.0008908051455831,0.0004282417565349,0.0004802658063552,0.0005055062902324,0.0002479253033057,0.0002661992438444,0.6812460401322015,0.7259660774590861,0.4696914330979405,1.0008951231154923,1.0006846853438005,0.9168646273011022,0.6168080736151,0.7251572794785867,0.9944737300205988,0.9318904703198068,0.3534142208005688,0.7148030574624883,0.7319830406771669,0.5370014913551274,0.4925938370735411,0.0011535888812462
5,amphoriskos_vox10_octree09_jpeg090.ply,amphoriskos_vox10.ply,3.8,0.9762262114399488,0.9928243599853152,0.9961983188218152,0.7751209668797198,0.5015826964619852,0.4698712259001555,0.9255349426275252,0.9823373719040752,0.9865721804482216,0.7557338419005204,0.5611050624435782,0.7153053696480342,0.000820285792784,0.0003735417408451,0.0003760098734447,0.00047666072692,0.0002021852107868,0.000664319181593,0.0008908051455831,0.0004282417565349,0.0004802658063552,0.0005055062902324,0.0002479253033057,0.0002661992438444,0.6812460401322015,0.7259660774590861,0.4696914330979405,1.0008951231154923,1.0006846853438005,0.9168646273011022,0.6168080736151,0.7251572794785867,0.9944737300205988,0.9318904703198068,0.3534142208005688,0.7148030574624883,0.7319830406771669,0.5370014913551274,0.4925938370735411,0.0011535888812462
6,amphoriskos_vox10_octree10_jpeg010.ply,amphoriskos_vox10.ply,2.85,0.9719033495625392,0.9850370387987192,0.989815460726364,0.7590574393482175,0.3218977938821551,0.3133372260676456,0.9373828391478706,0.8654442628971577,0.8780723779317854,0.7400463381203539,0.4218833892999711,0.6981324004196064,0.0005015263090639,0.0002577191338293,0.000259581230192,0.0002334896201285,0.0001829695636271,0.0003525894084813,0.00070307908513,0.0003206747445794,0.0004140234427741,0.0003134030490326,0.0001107877355357,0.0002302778467982,0.9833943764347604,0.9819362841399784,0.9744889611669412,0.973976595130254,0.9718230846577964,0.8288563983413305,0.9909281791989416,0.9965221460349232,0.9994314932142848,0.9667163417279648,0.6635573124274612,0.9739237047057112,0.9675278522709574,0.7741968308384113,0.1686464749823302,0.0001386003658251
7,amphoriskos_vox10_octree10_jpeg050.ply,amphoriskos_vox10.ply,3.9,0.9872056644206734,0.9924184243627232,0.9953961108880258,0.8707747002318998,0.487381339574363,0.4542700914233854,0.9092762213752162,0.9811021645992084,0.9834569259126228,0.8451899488231079,0.5889210014181142,0.8204491416103792,0.0005015263090639,0.0002577191338293,0.000259581230192,0.0002334896201285,0.0001829695636271,0.0003525894084813,0.00070307908513,0.0003206747445794,0.0004140234427741,0.0003134030490326,0.0001107877355357,0.0002302778467982,0.9833943764347604,0.9819362841399784,0.9744889611669412,0.973976595130254,0.9718230846577964,0.8288563983413305,0.9909281791989416,0.9965221460349232,0.9994314932142848,0.9667163417279648,0.6635573124274612,0.9739237047057112,0.9675278522709574,0.7741968308384113,0.1686464749823302,0.0001386003658251
8,amphoriskos_vox10_octree10_jpeg090.ply,amphoriskos_vox10.ply,4.6,0.9926561637871342,0.9949511496365592,0.9971630854602984,0.9294028827563532,0.5686586022646154,0.5418842803733428,0.8896630272138335,0.972756723355234,0.9771851355570876,0.904150409346524,0.6631276428767382,0.8925686239714677,0.0005015263090639,0.0002577191338293,0.000259581230192,0.0002334896201285,0.0001829695636271,0.0003525894084813,0.00070307908513,0.0003206747445794,0.0004140234427741,0.0003134030490326,0.0001107877355357,0.0002302778467982,0.9833943764347604,0.9819362841399784,0.9744889611669412,0.973976595130254,0.9718230846577964,0.8288563983413305,0.9909281791989416,0.9965221460349232,0.9994314932142848,0.9667163417279648,0.6635573124274612,0.9739237047057112,0.9675278522709574,0.7741968308384113,0.1686464749823302,0.0001386003658251
9,amphoriskos_vox10_hidden.ply,amphoriskos_vox10.ply,4.9,1.0,1.0,1.0,1.0,1.0,1.0,7.687984721708552e-17,7.478420251840123e-17,7.370884676769717e-17,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0001809469453978,0.0003524971339343,0.0004875439690857,0.0001809469453978,0.0003524971339343,1.4702173756946334e-17,6.3405711859544906e-18,9.134917464617832e-18,1.0,1.0,1.0,6.060599146290686e-17,6.23414104609815e-17,7.465145125384295e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.1499666567052564e-17
